#,Weight (lb.),Feed
1,179,Horsebean
2,160,Horsebean
3,136,Horsebean
4,227,Horsebean
5,217,Horsebean
6,168,Horsebean
7,108,Horsebean
8,124,Horsebean
9,143,Horsebean
10,140,Horsebean
11,309,Linseed
12,229,Linseed
13,181,Linseed
14,141,Linseed
15,260,Linseed
16,203,Linseed
17,148,Linseed
18,169,Linseed
19,213,Linseed
20,257,Linseed
21,244,Linseed
22,271,Linseed
23,243,Soybean
24,230,Soybean
25,248,Soybean
26,327,Soybean
27,329,Soybean
28,250,Soybean
29,193,Soybean
30,271,Soybean
31,316,Soybean
32,267,Soybean
33,199,Soybean
34,171,Soybean
35,158,Soybean
36,248,Soybean
37,423,Sunflower
38,340,Sunflower
39,392,Sunflower
40,339,Sunflower
41,341,Sunflower
42,226,Sunflower
43,320,Sunflower
44,295,Sunflower
45,334,Sunflower
46,322,Sunflower
47,297,Sunflower
48,318,Sunflower
49,325,Meatmeal
50,257,Meatmeal
51,303,Meatmeal
52,315,Meatmeal
53,380,Meatmeal
54,153,Meatmeal
55,263,Meatmeal
56,242,Meatmeal
57,206,Meatmeal
58,344,Meatmeal
59,258,Meatmeal
60,368,Casein
61,390,Casein
62,379,Casein
63,260,Casein
64,505,Casein
65,318,Casein
66,352,Casein
67,359,Casein
68,216,Casein
69,222,Casein
70,283,Casein
71,332,Casein
